"","age","urban","college","cotPension","cuentaPropia","depto","directorio","dsi","estrato","formal","inac","ingtot","hoursWorkUsual","maxEducLevel","oficio","orden","salud","seguridadsocial","sex","microEmpresa","sizeFirm","y_salary_m","y_salary_m_hu","sub.alimentacion","sub.transporte","sub.familiar","sub.educativo","log_y_salary_h","log_y_salary_m"
"9478",45,1,0,1,0,11,4680270,0,3,1,0,2846666.66666667,54,7,21,1,1,1,1,0,5,2600000,11234.568359375,2,2,1,2,9.32675076460013,14.7710220029917
"9479",63,1,0,1,0,11,4680272,0,3,1,0,2415970.33333333,41,7,33,1,1,1,0,0,5,1809000,10295.1220703125,2,2,2,2,9.23942547663419,14.4082847643774
"9480",42,1,0,2,0,11,4680273,0,3,0,0,6e+05,35,5,53,1,1,3,1,1,2,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9481",35,1,0,1,0,11,4680273,0,3,1,0,1385711,48,7,13,2,1,1,0,0,4,1170000,5687.5,2,1,1,2,8.6460260632592,13.9725143067739
"9482",20,1,0,1,0,11,4680273,0,3,1,0,869453,50,7,38,3,1,1,1,0,5,781242,3645.7958984375,2,1,2,2,8.2013299740879,13.5686402399803
"9483",26,1,0,1,0,11,4680274,0,3,1,0,1319377.33333333,48,7,55,3,1,1,0,0,5,1052000,5113.888671875,2,1,2,2,8.53971538632888,13.8662036722798
"9484",29,1,0,1,0,11,4680274,0,3,1,0,1e+06,48,7,30,4,1,1,1,0,5,1e+06,4861.111328125,2,2,2,2,8.4890223590924,13.8155105579643
"9485",54,1,0,2,1,11,4680275,0,3,0,0,560000,30,3,55,1,1,3,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9486",48,1,1,2,1,11,4680275,0,3,0,0,8e+05,24,6,57,2,1,3,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9487",44,1,0,1,1,11,4680276,0,3,1,0,1800000,48,7,85,1,1,1,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9488",35,1,0,1,0,11,4680276,0,3,1,0,1205833.33333333,48,7,33,2,1,1,1,0,4,1160000,5638.888671875,2,1,2,2,8.63744228108259,13.9639305630825
"9489",26,1,0,2,0,11,4680277,0,1,0,0,1e+06,40,5,53,1,2,1,1,1,2,1e+06,5833.33349609375,2,2,2,2,8.67134389914528,13.8155105579643
"9490",33,1,0,2,1,11,4680277,0,1,0,0,5e+05,40,3,45,2,1,3,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9491",25,1,1,2,0,11,4680277,0,1,0,0,869453,50,6,95,5,1,1,1,0,5,781242,3645.7958984375,2,1,2,2,8.2013299740879,13.5686402399803
"9492",36,1,1,1,0,11,4680278,0,1,1,0,963953,48,6,79,1,1,1,1,0,4,781242,3797.7041015625,2,1,1,2,8.24215197932255,13.5686402399803
"9493",27,1,1,1,0,11,4680278,0,1,1,0,1074711,48,6,97,2,1,1,0,0,5,813000,3952.08325195312,2,1,1,2,8.28199812442349,13.6084863885299
"9494",45,1,1,2,0,11,4680279,0,3,0,0,720000,48,6,45,1,1,1,1,1,2,720000,3500,2,2,2,2,8.1605182474775,13.4870064909922
"9495",45,1,1,1,0,11,4680279,0,3,1,0,926666.666666667,54,6,53,2,1,1,0,0,5,8e+05,3456.7900390625,2,1,1,2,8.14809570306489,13.5923670066501
"9496",26,1,1,2,0,11,4680279,0,3,0,0,850000,60,6,45,5,2,1,1,1,2,1566233.77618804,7984.2620714019,2,2,2,2,8.98522764202697,14.2641844267592
"9497",73,1,1,2,1,11,4680280,0,3,0,0,1400000,48,6,98,1,1,1,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9498",69,1,0,3,0,11,4680280,0,3,1,0,888211,40,5,38,2,1,1,0,1,2,1566233.77618804,7984.2620714019,2,2,2,2,8.98522764202697,14.2641844267592
"9499",33,1,0,1,0,11,4680280,0,3,1,0,1896933,40,7,6,3,1,2,0,0,5,1566233.77618804,7984.2620714019,2,2,2,2,8.98522764202697,14.2641844267592
"9500",39,1,1,1,0,11,4680281,0,1,1,0,1988544.33333333,48,6,98,1,1,1,1,0,5,1e+06,4861.111328125,1,1,1,2,8.4890223590924,13.8155105579643
"9501",23,1,1,2,0,11,4680282,0,1,0,0,1100000,48,6,95,2,1,1,1,0,3,1100000,5347.22216796875,2,2,2,2,8.58433248410776,13.9108207377686
"9502",21,1,1,2,0,11,4680282,0,1,0,0,1040000,50,6,97,6,1,3,1,0,3,760000,3546.66674804688,2,2,2,2,8.17376349717307,13.5410737122625
"9503",24,1,0,2,1,11,4680282,0,1,0,0,80000,5,5,54,7,1,3,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9504",37,1,0,2,1,11,4680283,0,3,0,0,2e+06,72,7,45,1,1,1,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9505",29,1,0,1,0,11,4680283,0,3,1,0,1720000,45,7,13,2,1,1,0,0,4,1300000,6740.74072265625,2,1,2,2,8.81592509737174,14.0778748224318
"9506",30,1,0,1,0,11,4680284,0,3,1,0,4691666.66666667,48,7,21,1,1,1,1,0,5,4300000,20902.77734375,2,2,2,2,9.94763731638494,15.2741255806638
"9507",44,1,1,1,0,11,4680285,0,1,1,0,1229453,48,6,53,1,1,1,0,0,5,781242,3797.7041015625,2,1,1,2,8.24215197932255,13.5686402399803
"9508",61,1,0,1,0,11,4680286,0,3,1,0,1183333.33333333,48,5,58,1,1,1,1,1,2,1100000,5347.22216796875,2,1,2,2,8.58433248410776,13.9108207377686
"9509",23,1,0,1,1,11,4680287,0,2,1,0,1e+06,50,7,59,3,1,1,1,0,5,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9510",45,1,1,1,0,11,4680288,0,3,1,0,1095083.33333333,52,6,38,1,1,1,0,0,4,1e+06,4487.1796875,2,1,1,2,8.40897965141886,13.8155105579643
"9511",23,1,0,1,0,11,4680288,0,3,1,0,1200000,40,7,30,2,1,1,0,0,5,1200000,7000,2,1,2,2,8.85366542803745,13.9978321147582
"9512",30,1,0,1,0,11,4680289,0,2,1,0,1694877.66666667,50,7,98,1,1,1,1,0,5,1400000,6533.33349609375,2,1,1,2,8.78467258146281,14.1519827945855
"9513",28,1,0,1,0,11,4680289,0,2,1,0,2349211,40,7,13,2,1,1,0,0,5,1800000,10500,2,1,1,2,9.25913053614561,14.4032972228664
"9514",52,1,1,2,0,11,4680289,0,2,0,0,1e+06,54,6,54,4,1,1,0,1,1,8e+05,3456.7900390625,2,2,2,2,8.14809570306489,13.5923670066501
"9515",38,1,0,1,1,11,4680290,0,3,1,0,2500000,42,7,8,1,1,1,1,0,5,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9516",59,1,0,2,1,11,4680291,0,2,0,0,1500000,48,3,45,1,1,1,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9517",55,1,0,2,1,11,4680291,0,2,0,0,3e+05,21,3,45,2,1,1,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9518",40,1,0,1,0,11,4680291,0,2,1,0,969453,60,7,30,3,1,1,0,1,2,781242,3038.16333007812,2,1,2,2,8.01900844407993,13.5686402399803
"9519",44,1,0,1,0,11,4680292,0,1,1,0,1300000,48,3,95,1,1,1,1,0,3,1300000,6319.4443359375,2,2,2,2,8.7513865617467,14.0778748224318
"9520",33,1,1,1,0,11,4680292,0,1,1,0,1143744.66666667,48,6,54,2,1,1,0,1,1,781242,3797.7041015625,2,1,1,2,8.24215197932255,13.5686402399803
"9521",48,1,0,1,0,11,4680295,0,2,1,0,869453,48,5,94,2,1,1,0,0,3,781242,3797.7041015625,2,1,2,2,8.24215197932255,13.5686402399803
