"","age","urban","college","cotPension","cuentaPropia","depto","directorio","dsi","estrato","formal","inac","ingtot","hoursWorkUsual","maxEducLevel","oficio","orden","salud","seguridadsocial","sex","microEmpresa","sizeFirm","y_salary_m","y_salary_m_hu","sub.alimentacion","sub.transporte","sub.familiar","sub.educativo","log_y_salary_h","log_y_salary_m"
"1387",30,1,1,1,0,11,4559839,0,2,1,0,781242,48,6,37,1,1,1,1,1,2,781242,3797.7041015625,2,2,2,2,8.24215197932255,13.5686402399803
"1388",46,1,1,2,0,11,4559840,0,2,0,0,2e+05,12,6,97,2,1,2,1,1,2,2e+05,3888.88891601562,2,2,2,2,8.26587877011078,12.2060726455302
"1389",38,1,0,1,0,11,4559840,0,2,1,0,3180000,32,7,13,1,1,2,0,0,5,2700000,19687.5,2,2,1,2,9.88773919556799,14.8087623309746
"1390",32,1,0,1,0,11,4559841,0,2,1,0,1008711,48,7,39,2,1,1,0,0,5,8e+05,3888.88891601562,2,1,1,2,8.26587877011078,13.5923670066501
"1391",31,1,0,1,0,11,4559841,0,2,1,0,959929.416666667,48,7,37,1,1,1,1,0,5,781242,3797.7041015625,2,1,1,2,8.24215197932255,13.5686402399803
"1392",50,1,0,1,0,11,4559841,0,2,1,0,2088877.66666667,48,7,92,2,1,1,0,0,5,1180000,5736.111328125,2,1,1,2,8.65453679076004,13.9810249964418
"1393",42,1,1,1,0,11,4559841,0,2,1,0,959929.416666667,48,6,39,1,1,1,1,0,4,781242,3797.7041015625,2,1,1,2,8.24215197932255,13.5686402399803
"1394",36,1,1,1,0,11,4559843,0,2,1,0,1342377.66666667,60,6,58,3,1,1,1,0,5,1200000,4666.66650390625,2,1,2,2,8.44820028505205,13.9978321147582
"1395",58,1,0,2,0,11,4559844,0,2,0,0,842718.416666667,78,3,39,1,2,NA,1,1,2,781242,2337.048828125,2,2,2,2,7.75664422782722,13.5686402399803
"1396",35,1,1,1,0,11,4559847,0,3,1,0,1219044.33333333,48,6,53,2,1,1,1,0,4,9e+05,4375,2,1,2,2,8.38366179879172,13.7101500423064
"1397",27,1,0,1,0,11,4559848,0,3,1,0,1274833.33333333,50,7,19,2,1,1,0,0,5,1200000,5600,2,1,1,2,8.63052187672324,13.9978321147582
"1398",30,1,0,1,0,11,4559849,0,3,1,0,2025000,40,7,3,1,1,1,1,0,4,2e+06,11666.6669921875,2,2,2,2,9.36449107970523,14.5086577385242
"1399",32,1,0,1,0,11,4559850,0,3,1,0,1042377.66666667,48,7,11,1,1,1,0,0,4,9e+05,4375,2,1,2,2,8.38366179879172,13.7101500423064
"1400",36,1,0,2,0,11,4559853,0,2,0,0,6e+05,75,5,98,2,1,1,1,1,1,6e+05,1866.66662597656,2,2,2,2,7.53190956625686,13.3046849341983
"1401",35,1,1,1,0,11,4559853,0,2,1,0,1001544.33333333,48,6,39,1,1,1,0,0,4,850000,4131.9443359375,2,1,2,2,8.32650335869126,13.6529916284665
"1402",32,1,0,1,0,11,4559854,0,3,1,0,2151333.33333333,30,7,13,2,1,2,0,0,5,1768000,13751.111328125,2,2,2,2,9.52887492369228,14.3853595221797
"1403",39,1,0,1,0,11,4559855,0,2,1,0,3696666.66666667,48,7,39,2,1,1,0,0,5,3600000,17500,2,2,1,2,9.76995615991161,15.0964444034263
"1404",31,1,0,1,0,11,4559859,0,2,1,0,990129.416666667,48,7,39,2,1,1,0,0,5,781242,3797.7041015625,2,1,1,2,8.24215197932255,13.5686402399803
"1405",22,1,0,1,0,11,4559860,0,3,1,0,1500000,48,7,2,2,1,1,0,0,5,1500000,7291.66650390625,2,2,2,2,8.89448740023628,14.2209756660724
"1406",27,1,0,1,0,11,4559861,0,2,1,0,1186794.33333333,48,7,3,1,1,1,1,0,5,853000,4146.52783203125,2,1,2,2,8.33002659604316,13.6565148264738
"1407",42,1,0,1,0,11,4559862,0,3,1,0,1988211,40,7,39,2,1,1,0,0,5,1800000,10500,2,2,1,2,9.25913053614561,14.4032972228664
"1408",53,1,0,1,0,11,4559863,0,3,1,0,1129877.66666667,48,7,33,1,1,1,0,0,5,9e+05,4375,2,1,2,2,8.38366179879172,13.7101500423064
"1409",50,1,1,2,0,11,4559864,0,2,0,0,781242,40,6,37,1,1,1,1,1,2,781242,4557.2451171875,2,2,2,2,8.42447357897409,13.5686402399803
"1410",49,1,0,2,0,11,4559865,0,2,0,0,781242,48,5,80,3,1,1,1,0,4,781242,3797.7041015625,2,2,2,2,8.24215197932255,13.5686402399803
"1411",23,1,1,2,0,11,4559866,0,2,0,0,350000,24,6,45,2,2,NA,0,1,2,350000,3402.77783203125,2,2,2,2,8.13234738645469,12.7656884334656
"1412",46,1,0,1,0,11,4559867,0,3,1,0,4943333.33333333,40,7,8,1,1,1,0,0,5,2800000,16333.3330078125,1,1,1,2,9.70096326849481,14.8451299751454
"1413",32,1,0,1,0,11,4559871,0,3,1,0,1604877.66666667,48,7,21,1,1,1,0,0,4,1400000,6805.5556640625,2,1,1,2,8.82549456701463,14.1519827945855
"1414",24,1,1,1,0,11,4559871,0,3,1,0,1e+06,24,6,53,4,1,1,0,0,5,8e+05,7777.77783203125,2,2,2,2,8.95902595067072,13.5923670066501
"1415",44,1,0,1,0,11,4559872,0,4,1,0,6250000,48,7,21,1,1,1,1,0,5,6e+06,29166.666015625,2,2,2,2,10.2807817613562,15.6072700271923
"1416",39,1,0,1,0,11,4559874,0,3,1,0,3280000,48,7,39,4,1,1,1,0,5,3e+06,14583.3330078125,2,2,1,2,9.58763458079622,14.9141228466324
"1417",53,1,0,1,0,11,4559874,0,3,1,0,2171544.33333333,48,7,19,1,1,1,0,0,4,1e+06,4861.111328125,2,1,2,2,8.4890223590924,13.8155105579643
"1418",33,1,0,1,0,11,4559875,0,3,1,0,1829000,40,7,13,7,1,1,0,0,5,1800000,10500,2,1,1,2,9.25913053614561,14.4032972228664
"1419",68,1,0,2,0,11,4559875,0,3,0,0,350000,50,5,54,6,1,1,0,1,1,350000,1633.33337402344,2,2,2,2,7.39837822034292,12.7656884334656
"1420",65,1,0,1,0,11,4559877,0,6,1,0,1142908.66666667,60,4,54,2,1,1,0,1,1,781242,3038.16333007812,2,2,2,2,8.01900844407993,13.5686402399803
"1421",52,1,0,1,0,11,4559879,0,3,1,0,9e+05,20,7,44,1,1,1,0,1,2,850000,9916.6669921875,2,1,2,2,9.2019721551313,13.6529916284665
"1422",21,1,0,1,0,11,4559880,0,2,1,0,869453,48,7,44,5,1,1,1,0,5,781242,3797.7041015625,2,1,2,2,8.24215197932255,13.5686402399803
"1423",22,1,1,1,0,11,4559880,0,2,1,0,869453,40,6,13,4,1,1,0,0,5,781242,4557.2451171875,2,1,2,2,8.42447357897409,13.5686402399803
"1424",26,1,0,1,0,11,4559883,0,3,1,0,1075000,48,7,39,3,1,1,0,0,5,9e+05,4375,2,1,2,2,8.38366179879172,13.7101500423064
"1425",31,1,1,1,0,11,4559883,0,3,1,0,932786.333333333,48,6,45,5,1,1,1,0,4,781242,3797.7041015625,2,1,2,2,8.24215197932255,13.5686402399803
"1426",22,1,0,2,0,11,4559883,0,3,0,0,160000,20,7,18,4,1,1,1,1,2,160000,1866.66662597656,2,2,2,2,7.53190956625686,11.982929094216
"1427",37,1,0,1,0,11,4559884,0,3,1,0,3600000,60,7,58,1,1,2,1,0,5,3300000,12833.3330078125,2,2,1,2,9.45980120624251,15.0094330264367
"1428",29,1,0,1,0,11,4559885,0,6,1,0,5450000,40,7,21,3,1,1,1,0,5,4500000,26250,1,1,2,2,10.1754212680198,15.3195879547405
"1429",27,1,0,1,0,11,4559885,0,6,1,0,3250000,45,7,12,4,1,1,1,0,5,3e+06,15555.5556640625,2,2,2,2,9.65217313123067,14.9141228466324
"1430",55,1,0,2,0,11,4559888,0,3,0,0,750000,50,5,81,1,1,1,1,1,2,750000,3500,2,2,2,2,8.1605182474775,13.5278284855125
"1431",40,1,1,1,0,11,4559889,0,2,1,0,930929.416666667,48,6,80,1,1,1,0,0,5,781242,3797.7041015625,2,1,2,2,8.24215197932255,13.5686402399803
"1432",47,1,0,2,0,11,4559890,0,6,0,0,1342908.66666667,48,3,54,5,1,1,0,1,1,781242,3797.7041015625,2,2,2,2,8.24215197932255,13.5686402399803
